,Brewery Name,Beer Name,Beer Type,ABV %,Num of Ratings,Avg Rating
0,Tree House Brewing Company,'Tis The Season,Porter - Smoked,8.2,20,4.14
1,Tree House Brewing Company,AAAlterrr Ego,IPA - New England,6.8,425,4.44
2,Tree House Brewing Company,AAAlterrr Ego - Mango,IPA - New England,7.8,1,4.5
3,Tree House Brewing Company,AAAlterrr Ego - Passion Fruit,IPA - American,6.8,1,4.25
4,Tree House Brewing Company,AAAlterrr Ego - Peach,IPA - New England,6.8,5,4.33
5,Tree House Brewing Company,Abstraction,Porter - Imperial,8.8,123,4.23
6,Tree House Brewing Company,Abstraction - Coffee,Porter - Imperial,8.8,126,4.3
7,Tree House Brewing Company,Abstraction - Vanilla,Porter - Imperial,8.8,50,4.16
8,Tree House Brewing Company,Absurdism,Stout - Sweet / Milk,7.9,21,4.58
9,Tree House Brewing Company,Acadia Nights,Stout - Sweet / Milk,9.6,16,4.21
10,Tree House Brewing Company,All That Is And All That Ever Will Be,Stout - Sweet / Milk,6.5,454,4.5
11,Tree House Brewing Company,All That Is And All That Ever Will Be - Marshmallow,Stout - Sweet / Milk,6.5,12,4.58
12,Tree House Brewing Company,All That Is And All That Ever Will Be - Oreo,Stout - Sweet / Milk,6.5,1,4.7
13,Tree House Brewing Company,Alter Ego,IPA - New England,6.8,2555,4.55
14,Tree House Brewing Company,Alter Ego - Peach,IPA - New England,6.8,4,4.71
15,Tree House Brewing Company,And Miles To Go Before I Sleep,Stout - Sweet / Milk,10.0,94,4.46
16,Tree House Brewing Company,And Miles To Go Before I Sleep - Marshmallow,Stout - Sweet / Milk,10.0,5,4.39
17,Tree House Brewing Company,And So It Goes,Stout - American Imperial,9.4,3,4.42
18,Tree House Brewing Company,Apricot Tart,Sour - Fruited Kettle Sour,4.0,5,4.35
19,Tree House Brewing Company,At Ease,Altbier,5.4,28,3.99
20,Tree House Brewing Company,August Moon,Wild Ale,6.2,10,4.3
21,Tree House Brewing Company,Autumn,IPA - Imperial,8.2,214,4.37
22,Tree House Brewing Company,Baby Bright,IPA - American,5.4,187,4.06
23,Tree House Brewing Company,BBBrighttt,IPA - Imperial,7.8,252,4.33
24,Tree House Brewing Company,BBBrighttt - Citra,IPA - New England,7.8,219,4.42
25,Tree House Brewing Company,BBBrighttt - Galaxy,IPA - New England,7.8,196,4.41
26,Tree House Brewing Company,BBBrighttt - Simcoe & Amarillo,IPA - Imperial,7.8,91,4.26
27,Tree House Brewing Company,Bear,Brown Ale - American,6.4,388,4.08
28,Tree House Brewing Company,Bear With A Hint Of Coffee,Brown Ale - American,6.4,68,3.99
29,Tree House Brewing Company,Beginner's Mind,IPA - New England,8.2,103,4.34
30,Tree House Brewing Company,Beneficiaries Of Chance,Pale Ale - American,5.3,107,4.27
31,Tree House Brewing Company,Big Blue,IPA - Imperial,8.4,15,4.35
32,Tree House Brewing Company,Big Chocolate,Stout - Sweet / Milk,9.8,35,4.41
33,Tree House Brewing Company,Big Chocolate - Oreo,Stout - Sweet / Milk,9.8,0,0.0
34,Tree House Brewing Company,Big Nugget,Stout - American Imperial,11.4,18,4.5
35,Tree House Brewing Company,Blend Two,Stout - American Imperial,0.0,20,4.31
36,Tree House Brewing Company,Blood Orange Tart,Sour - Fruited Kettle Sour,4.0,2,4.21
37,Tree House Brewing Company,Blue,IPA - New England,7.1,96,4.22
38,Tree House Brewing Company,Bright,IPA - Imperial,7.8,1218,4.39
39,Tree House Brewing Company,Bright - Centennial,IPA - Imperial,7.8,102,4.17
40,Tree House Brewing Company,Bright - Citra,IPA - Imperial,7.8,732,4.42
41,Tree House Brewing Company,Bright - Galaxy,IPA - New England,7.8,291,4.41
42,Tree House Brewing Company,Bright - Nelson,IPA - Imperial,7.8,422,4.35
43,Tree House Brewing Company,Bright - Simcoe & Amarillo,IPA - Imperial,7.8,334,4.27
44,Tree House Brewing Company,Brighter Than Starlight,IPA - New England,8.3,165,4.47
45,Tree House Brewing Company,Brighter Than Starlight - Guava,IPA - New England,8.3,5,4.15
46,Tree House Brewing Company,Brilliant,IPA - New England,8.2,29,4.4
47,Tree House Brewing Company,Brisk,Lager - Märzen / Oktoberfest,5.3,24,4.2
48,Tree House Brewing Company,Brownie,Stout - American Imperial,12.6,15,4.69
49,Tree House Brewing Company,Cachet,IPA - New England,8.2,151,4.41
50,Tree House Brewing Company,Cachet - Peach & Guava,IPA - New England,8.2,3,4.57
51,Tree House Brewing Company,Candy Shop,Stout - Sweet / Milk,9.4,62,4.38
52,Tree House Brewing Company,Candy Shop - Chocolate Truffle,Stout - Sweet / Milk,9.4,1,4.5
53,Tree House Brewing Company,Catharsis,Porter - American,7.4,237,4.18
54,Tree House Brewing Company,Catharsis - Vanilla Bean,Porter - American,7.4,0,0.0
55,Tree House Brewing Company,Cheer,Stout - American Imperial,10.4,16,4.44
56,Tree House Brewing Company,Chocolate Fudge Cake,Stout - Sweet / Milk,11.4,14,4.4
57,Tree House Brewing Company,Cozy,Porter - Baltic,9.2,21,4.18
58,Tree House Brewing Company,Crew Beer,Pale Ale - American,5.4,29,4.09
59,Tree House Brewing Company,Curiosity Ninety Eight,IPA - Imperial,0.0,27,4.3
60,Tree House Brewing Company,Curiosity Ninety Nine,IPA - Imperial,0.0,27,4.48
61,Tree House Brewing Company,Curiosity Ninety Seven,IPA - Imperial,0.0,22,4.4
62,Tree House Brewing Company,Curiosity One Hundred,IPA - Imperial,8.4,40,4.4
63,Tree House Brewing Company,Curiosity One Hundred Eight,IPA - New England,8.1,16,4.27
64,Tree House Brewing Company,Curiosity One Hundred Eleven,IPA - American,8.1,22,4.29
65,Tree House Brewing Company,Curiosity One Hundred Five,IPA - Imperial,8.2,30,4.28
66,Tree House Brewing Company,Curiosity One Hundred Four,IPA - Imperial,8.2,20,4.14
67,Tree House Brewing Company,Curiosity One Hundred Fourteen,IPA - American,6.6,1,4.33
68,Tree House Brewing Company,Curiosity One Hundred Fourteen,IPA - American,6.6,4,3.52
69,Tree House Brewing Company,Curiosity One Hundred Nine,IPA - Imperial,8.2,13,4.21
70,Tree House Brewing Company,Curiosity One Hundred One,IPA - Imperial,8.1,28,4.39
71,Tree House Brewing Company,Curiosity One Hundred Seven,IPA - New England,8.1,12,4.29
72,Tree House Brewing Company,Curiosity One Hundred Six,IPA - American,7.2,13,4.29
73,Tree House Brewing Company,Curiosity One Hundred Ten,IPA - Imperial,8.2,22,4.32
74,Tree House Brewing Company,Curiosity One Hundred Thirteen,IPA - American,6.7,1,4.22
75,Tree House Brewing Company,Curiosity One Hundred Three,IPA - Imperial,7.9,31,4.38
76,Tree House Brewing Company,Curiosity One Hundred Twelve,IPA - Imperial,8.1,17,4.18
77,Tree House Brewing Company,Curiosity One Hundred Two,IPA - Imperial,8.3,35,4.36
78,Tree House Brewing Company,Dad Shoes,Stout - Sweet / Milk,8.2,67,4.2
79,Tree House Brewing Company,Daze,IPA - New England,6.9,100,4.32
80,Tree House Brewing Company,Dear Washington,IPA - American,6.8,57,4.1
81,Tree House Brewing Company,Doppelganger,IPA - New England,8.2,2063,4.59
82,Tree House Brewing Company,Doppelganger W/ Passionfruit,IPA - New England,8.2,2,4.43
83,Tree House Brewing Company,Doppelganger W/ Peach,IPA - New England,8.2,21,4.67
84,Tree House Brewing Company,Double Shot,Stout - American,7.6,1181,4.55
85,Tree House Brewing Company,Double Shot - Banana,Stout - American,8.2,0,0.0
86,Tree House Brewing Company,Double Shot - Chocolate Truffle,Stout - American,8.2,2,4.87
87,Tree House Brewing Company,Double Shot - Costa Rica Torres Family,Stout - American Imperial,8.9,45,4.44
88,Tree House Brewing Company,Double Shot - Espresso,Stout - American Imperial,9.2,118,4.44
89,Tree House Brewing Company,Double Shot - Espresso Oreo,Stout - American Imperial,9.2,2,4.75
90,Tree House Brewing Company,Double Shot - Ethiopia Misty Valley,Stout - American Imperial,9.1,54,4.44
91,Tree House Brewing Company,Double Shot - Gold,Stout - American Imperial,9.2,3,4.19
92,Tree House Brewing Company,Double Shot - Hair Bender,Stout - American Imperial,9.1,62,4.49
